Districts,RegisteredVoter/District,Voter/District,ID,Sunni,Shiite,Druze,Alawite,Maronite,Greek Orthodox,Greek Catholic,Armenian Orthodox,Armenian Catholic,Evangelical,Minorities,Total,Voter Percentage,Seat Percentage,Index
Akkar,223538,120599,17,3,,,1,1,2,,,,,,7,0.0686308433,0.0546875,0.7968356121
Minieh-Dinnieh,97352,97352,21,3,,,,,,,,,,,3,0.029889101,0.0234375,0.784148711
Tripoli,196149,89886,22,5,,,1,1,1,,,,,,8,0.0602218472,0.0625,1.0378293415
Zghorta,71035,34399,23,,,,,3,,,,,,,3,0.0218092313,0.0234375,1.0746596088
Bcharre,46422,17183,19,,,,,2,,,,,,,2,0.0142525253,0.015625,1.096296947
Koura,57794,27417,20,,,,,,3,,,,,,3,0.0177439673,0.0234375,1.3208714627
Batroun,58444,32914,18,,,,,2,,,,,,,2,0.0179435309,0.015625,0.870787367
Jbeil,75582,50428,14,,1,,,2,,,,,,,3,0.0232052555,0.0234375,1.0100082733
Keserwan,89228,60336,15,,,,,5,,,,,,,5,0.027394863,0.0390625,1.4259060175
Metn,170744,96748,16,,,,,4,2,1,1,,,,8,0.0524219806,0.0625,1.1922479706
Baabda,151590,84546,12,,2,1,,3,,,,,,,6,0.0465413018,0.046875,1.0071699362
Aley,116181,59779,11,,,2,,2,1,,,,,,5,0.0356699979,0.0390625,1.0951079969
Chouf,181949,91642,13,2,,2,,3,,1,,,,,8,0.0558621501,0.0625,1.1188255363
Beirut-One,92764,37284,51,,,,,1,1,1,1,1,,,5,0.028480489,0.0390625,1.3715529967
Beirut-Two,101787,27787,52,1,1,,,,,,2,,,,4,0.0312507388,0.03125,0.9999763599
Beirut-Three,252165,103243,53,5,1,1,,,1,,,,1,1,10,0.0774199312,0.078125,1.0091070703
Baalbeck-Hermel,255637,126038,6,2,6,,,1,,1,,,,,10,0.0784859079,0.078125,0.9954016217
Zahleh,158005,83932,10,1,1,,,1,1,2,1,,,,7,0.0485108411,0.0546875,1.127325331
WestBekaa-Rachaya,122487,65237,7,2,1,1,,1,1,,,,,,6,0.0376060719,0.046875,1.2464742432
Saida,53859,36398,251,2,,,,,,,,,,,2,0.0165358399,0.015625,0.944917226
Zahrany,92995,49882,252,,2,,,,,1,,,,,3,0.0285514108,0.0234375,0.8208876317
Jezzine,54188,29225,24,,,,,2,,1,,,,,3,0.0166368498,0.0234375,1.4087703055
Marjaayoun-Hasbaya,138844,64975,2,1,2,1,,,1,,,,,,5,0.0426280131,0.0390625,0.9163575105
Nabatieh,121912,68819,4,,3,,,,,,,,,,3,0.0374295349,0.0234375,0.62617663
Tyre-Sour,153060,74941,26,,4,,,,,,,,,,4,0.0469926226,0.03125,0.6649979992
BintJbeil,123396,52899,1,,3,,,,,,,,,,3,0.0378851539,0.0234375,0.6186460283
