ID_1,ID_2,NAME_0,NAME_1,district,diff_voter_registration,registered_female,registered_female_pct,registered_male,registered_male_pct,total_registered
1,1,Lebanon,An Nabatiyah,Bent Jbeil,-1.2430929144,69350,50.6215464572,67647,49.3784535428,136997
1,4,Lebanon,An Nabatiyah,Nabatieh,-0.5856320991,68187,50.2928160496,67393,49.7071839504,135580
2,53,Lebanon,Beirut,Beirut III,-4.4521337947,140368,52.2260668973,128402,47.7739331027,268770
3,10,Lebanon,Beqaa,Zahleh,-2.29714909,85346,51.148574545,81513,48.851425455,166859
4,11,Lebanon,Mount Lebanon,Aley,-2.2269075813,62546,51.1134537906,59821,48.8865462094,122367
4,12,Lebanon,Mount Lebanon,Baabda,-2.5473620651,81519,51.2736810325,77469,48.7263189675,158988
4,13,Lebanon,Mount Lebanon,Chouf,-2.6303303945,98423,51.3151651973,93378,48.6848348027,191801
4,14,Lebanon,Mount Lebanon,Jbeil,-2.4903898608,40393,51.2451949304,38430,48.7548050696,78823
4,15,Lebanon,Mount Lebanon,Keserwan,-2.4886407182,46804,51.2443203591,44531,48.7556796409,91335
4,16,Lebanon,Mount Lebanon,Metn,-2.8722929097,89825,51.4361464549,84809,48.5638535451,174634
5,17,Lebanon,North Lebanon,Akkar,0.1681416273,128544,49.9159291864,128977,50.0840708136,257521
5,18,Lebanon,North Lebanon,Batroun,-2.0669088915,29777,51.0334544457,28571,48.9665455543,58348
5,19,Lebanon,North Lebanon,Bchareh,0.3628023353,23893,49.8185988324,24067,50.1814011676,47960
5,20,Lebanon,North Lebanon,Koura,-0.336883656,29486,50.168441828,29288,49.831558172,58774
5,21,Lebanon,North Lebanon,Minnieh-Dinnieh,0.350896331,54809,49.8245518345,55195,50.1754481655,110004
5,22,Lebanon,North Lebanon,Tripoli,-3.712015842,109984,51.856007921,102111,48.143992079,212095
5,23,Lebanon,North Lebanon,Zgharta,0.1070090958,37340,49.9464954521,37420,50.0535045479,74760
6,24,Lebanon,South Lebanon,Jezzine,-2.6795885105,29295,51.3397942553,27766,48.6602057447,57061
6,251,Lebanon,South Lebanon,Saida,-6.5651988029,31157,53.2825994015,27318,46.7174005985,58475
6,26,Lebanon,South Lebanon,Sour,-0.1447840543,87498,50.0723920271,87245,49.9276079729,174743
6,252,Lebanon,South Lebanon,Zahrany,0.4629985399,51811,49.76850073,52293,50.23149927,104104
2,52,Lebanon,Beirut,Beirut II,-4.177377892,55114,52.088688946,50694,47.911311054,105808
2,51,Lebanon,Beirut,Beirut I,-4.7797746228,48304,52.3898873114,43897,47.6101126886,92201
3,6,Lebanon,Beqaa,Baalbeck-Hermel,-1.9434556407,148919,50.9717278204,143241,49.0282721796,292160
3,7,Lebanon,Beqaa,West Bekaa- Rashaya,0.25311919,66795,49.873440405,67134,50.126559595,133929
1,2,Lebanon,An Nabatiyah,Marjaaoun-Hasbaya,-1.2485796493,76185,50.6242898246,74306,49.3757101754,150491
