ID	District	Sunni_2013	Shia_2013	Alawite_2013	Druze_2013	Grkorth_2013	Grkcth_2013	Maronite_2013	Armorth_2013	Armcth_2013	Evang_2013	Minorities_2013
17	Akkar	165787	2915	12182	11	36407	3242	29259	158	64	781	881
11	Aley	2329	3908	6	64106	14404	4603	28158	833	188	891	1798
12	Baabda	9959	37487	19	27068	12399	8587	55357	1585	765	626	3650
6	Baalbek	40136	204300	107	31	2644	14921	21666	210	45	98	1409
18	Batroun	3462	952	45	7	9825	1940	40420	253	99	62	755
19	Bcharry	93	22	7	0	1280	521	45055	73	21	54	382
5	Beirut	207835	71913	162	5175	39472	19701	28429	45210	8335	3754	31458
7	WestBekaa-Rachaya	62695	18763	0	19185	9760	9487	10335	103	64	415	736
1	Bent-Jbel	1812	116201	8	13	271	3040	11900	66	45	68	550
13	Chouf	53821	5541	8	59110	2996	12313	52373	228	145	728	1876
2	Marjayoun-Hasbaya	25385	83820	7	15082	9822	3844	7226	101	51	1227	945
14	Jbeil	2558	15289	8	8	3560	1460	52719	1034	116	134	1014
24	Jezzine	1370	11390	5	541	1418	8313	32331	122	81	150	793
15	Kesrwan	506	1575	9	26	3342	4580	75115	1589	791	190	2852
21	Minniye-Danniyeh	91496	276	65	2	7740	168	7000	17	6	39	443
20	Koura	7942	1145	452	9	34699	685	12516	104	27	223	531
16	Matn	3438	4857	191	2277	25501	17185	75706	25410	6373	1026	11369
4	Nabatiyeh	2813	123989	21	13	216	1051	3856	14	15	50	590
25	Saida	51059	79598	8	74	1016	13173	12444	321	78	627	1058
22	Tripoli	167599	2579	14565	34	11929	1456	5166	1783	266	479	2201
26	Tyr	14775	144087	10	19	777	6062	2738	1075	152	304	1083
10	Zahle	45041	25527	17	885	16439	29591	27639	8788	1796	776	8519
23	Zgharta	9054	141	67	7	4177	822	58749	124	162	87	427
